2843 29 00;22199-08-2;[4-amino-N-(pyrimidin-2(1H)-ylidene-κN 1)benzenesulfonamidato-κO]silver
2933 39 99;548797-97-3;N-(2-{[(2S)-3-{[1-(4-chlorobenzyl)piperidin-4-yl]amino}-2-hydroxy-2-methylpropyl]oxy}-4-hydroxyphenyl)acetamide
2933 39 99;550349-58-1;7-chloro-3-(6-methoxypyridin-3-yl)-N,N,5-trimethyl-4-oxo-4,5-dihydro-3H-pyridazino[4,5-b]indole-1-carboxamide
2933 39 99;691882-47-0;4-hydroxybenzoic acid-(2S,4E)-N-methyl-5-[5-(propan-2-yloxy)pyridin-3-yl]pent-4-en-2-amine (1:1)
2933 39 99;741705-70-4;(2R)-phenyl[(2R)-piperidin-2-yl]ethanoic acid hydrochloride
2933 39 99;866109-93-5;4-{4-[4-(trifluoromethoxy)phenoxy]piperidin-1-yl}phenol 4-methylbenzenesulfonate
2933 39 99;871022-14-9;1-({4-[({[2-oxo-3-(propan-2-yl)-2,3-dihydro-1H-benzimidazol-1-yl]carbonyl}amino)methyl]piperidin-1-yl}methyl)cyclobutanecarboxylic acid
2933 39 99;871022-19-4;1-[(4-{[(tert-butoxycarbonyl)amino]methyl}piperidin-1-yl)methyl]cyclobutanecarboxylic acid
2933 39 99;873546-30-6;4,4′-[piperidine-1,4-diylbis(propane-3,1-diyloxy)]bis(N′-hydroxybenzenecarboximidamide)
2933 39 99;873546-38-4;4,4′-[piperidine-1,4-diylbis(propane-3,1-diyloxy)]dibenzenecarboximidamide trihydrochloride pentahydrate
2933 39 99;873546-74-8;4,4′-[piperidine-1,4-diylbis(propane-3,1-diyloxy)]bis[N′-(acetyloxy)benzenecarboximidamide]
2933 39 99;873546-80-6;4,4′-[piperidine-1,4-diylbis(propane-3,1-diyloxy)]dibenzonitrile
2933 39 99;876068-46-1;5,6-dichloro-N-(2,2-dimethoxyethyl)pyridin-3-amine
2933 39 99;876068-51-8;[(3S,4S)-4-amino-1-(5,6-dichloropyridin-3-yl)pyrrolidin-3-yl]methanol
2933 39 99;876170-44-4;(1S,5S)-3-(5,6-dichloropyridin-3-yl)-3,6-diazabicyclo[3.2.0]heptane benzenesulfonate
2933 39 99;925978-49-0;(+)-5-[6-(1-methyl-1H-pyrazol-4-yl)pyridin-3-yl]-1-azabicyclo[3.2.1]octane
2933 39 99;927889-51-8;4-bromo-2,6-diethylpyridine 4-methylbenzenesulfonate
2933 39 99;936637-40-0;3,3′-piperidine-1,4-diyldipropan-1-ol 4-methylbenzenesulfonate
2933 39 99;945405-37-8;2-methyl-3-[(2S)-pyrrolidin-2-ylmethoxy]pyridine 2,3-dihydroxybutanedioate
2933 39 99;1062580-52-2;(3R,4R)-1-benzyl-N,4-dimethylpiperidin-3-amine dihydrochloride
2933 49 10;68077-26-9;7-chloro-1-ethyl-6-fluoro-1,4-dihydro-4-oxoquinoline-3-carboxylic acid
2933 49 10;86393-33-1;7-chloro-1-cyclopropyl-6-fluoro-4-oxo-1,4-dihydroquinoline-3-carboxylic acid
2933 49 10;93107-30-3;1-cyclopropyl-6,7-difluoro-1,4-dihydro-4-oxoquinoline-3-carboxylic acid
2933 49 10;98105-79-4;7-chloro-6-fluoro-1-(4-fluorophenyl)-1,4-dihydro-4-oxoquinoline-3-carboxylic acid
2933 49 10;98349-25-8;ethyl 1-cyclopropyl-6,7-difluoro-4-oxo-1,4-dihydroquinoline-3-carboxylate
2933 49 10;100501-62-0;ethyl 1-ethyl-6,7,8-trifluoro-1,4-dihydro-4-oxoquinoline-3-carboxylate
2933 49 10;103995-01-3;1-(2,4-difluorophenyl)-6,7-difluoro-1,4-dihydro-4-oxoquinoline-3-carboxylic acid
2933 49 10;105956-96-5;7-[3-(tert-butoxycarbonylamino)pyrrolidin-1-yl]-8-chloro-1-cyclopropyl-6-fluoro-4-oxo-1,4-dihydroquinoline-3-carboxylic acid
2933 49 10;112811-72-0;1-cyclopropyl-6,7-difluoro-8-methoxy-4-oxo-1,4-dihydroquinoline-3-carboxylic acid
2933 49 10;119916-34-6;7-bromo-1-cyclopropyl-6-fluoro-5-methyl-4-oxo-1,4-dihydroquinoline-3-carboxylic acid
2933 49 10;136465-98-0;N-(2-quinolylcarbonyl)-L-asparagine
2933 49 10;136465-99-1;N-(2-quinolylcarbonyloxy)succinimide
2933 49 10;170143-39-2;3-methyl hydrogen 7-chloro-1,4-dihydro-4-oxoquinoline-2,3-dicarboxylate
2933 49 10;194804-45-0;ethyl 1-cyclopropyl-8-(difluoromethoxy)-7-((1R)-1-methyl-2-tritylisoindolin-5-yl)-4-oxo-1,4-dihydroquinoline-3-carboxylate
2933 49 10;194805-07-7;ethyl 7-bromo-1-cyclopropyl-8-(difluoromethoxy)-4-oxo-1,4-dihydroquinoline-3-carboxylate
2933 49 10;417716-92-8;4-{3-chloro-4-[(cyclopropylcarbamoyl)amino]phenoxy}-7-methoxyquinoline-6-carboxamide
2933 49 90;0-00-0;2-(ethylamino)-5-[2-(quinolin-4-yloxy)ethyl]nicotinic acid
2933 49 90;00-00-0;methyl 2-[(3R)-3-{3-[(E)-2-(7-chloroquinolin-2-yl)ethenyl]phenyl}-3-({[1-(hydroxymethyl)cyclopropyl]methyl}sulfanyl)propyl]benzoate hydrochloride
2933 49 90;1087-69-0;(9S,13S,14S)-3-methoxymorphinan hydrochloride
2933 49 90;4965-33-7;7-chloro-2-methylquinoline
2933 49 90;6340-55-2;2,6-dimethoxy-4-methylquinoline
2933 49 90;10500-57-9;5,6,7,8-tetrahydroquinoline
2933 49 90;22982-78-1;1,2,3,4-tetrahydro-2-isopropylaminomethyl-6-methyl-7-nitroquinoline methanesulfonate
2933 49 90;64228-78-0;pentamethylene bis{3-[1-(3,4-dimethoxybenzyl)-6,7-dimethoxy-1,2,3,4-tetrahydro-2-isoquinolyl]propionate}–oxalic acid (1:2)
2933 49 90;74163-81-8;(S)-1,2,3,4-tetrahydroisoquinoline-3-carboxylic acid
2933 49 90;77497-97-3;(S)-3-benzyloxycarbonyl-1,2,3,4-tetrahydroisoquinolinium p-toluenesulfonate
2933 49 90;79276-06-5;tert-butyl (3S)-1,2,3,4-tetrahydroisoquinoline-3-carboxylate 4-methylbenzenesulfonate
2933 49 90;103733-32-0;benzyl (3S)-6,7-dimethoxy-1,2,3,4-tetrahydroisoquinoline-3-carboxylate hydrochloride
2933 49 90;104832-01-1;(R)-6,7-dimethoxy-2-methyl-1-(3,4,5-trimethoxybenzyl)-1,2,3,4-tetrahydroisoquinoline-dibenzoyl-L-tartaric acid (1:1)
2933 49 90;106635-86-3;2,6-dimethoxy-4-methyl-5-[3-(trifluoromethyl)phenoxy]quinolin-8-amine
2933 49 90;118864-75-8;(1S)-1-phenyl-1,2,3,4-tetrahydroisoquinoline
2933 49 90;120578-03-2;3-[(E)-2-(7-chloro-2-quinolyl)vinyl]benzaldehyde
2933 49 90;134388-95-7;(3S,4aS,8aR)-2-(methoxycarbonyl)-6-oxodecahydroisoquinoline-3-carboxylic acid-(1R)-1-phenylethanamine (1:1)
2933 49 90;136465-81-1;(3S,4aS,8aS)-N-tert-butyldecahydroisoquinoline-3-carboxamide
2933 49 90;136522-17-3;(3S,4aS,8aS)-2-[(2R,3S)-3-amino-2-hydroxy-4-phenylbutyl]-N-tert-butyldecahydroisoquinoline-3-carboxamide
2933 49 90;142522-81-4;sodium (R)-1-[(1-{3-[2-(7-chloro-2-quinolyl)vinyl]phenyl}-3-[2-(1-hydroxy-1-methylethyl)phenyl]propyl)thiomethyl]cyclopropylacetate
2933 49 90;149057-17-0;(S)-N-tert-butyl-1,2,3,4-tetrahydroisoquinoline-3-carboxamide hydrochloride
2933 49 90;149182-72-9;(S)-N-tert-butyl-1,2,3,4-tetrahydroisoquinoline-3-carboxamide
2933 49 90;149968-11-6;methyl 2-(3-{(E)-3-[2-(7-chloro-2-quinolyl)vinyl]phenyl}-3-oxopropyl)benzoate
2933 49 90;159878-04-3;benzyl (1S,2S)-3-[(3S,4aS,8aS)-3-tert-butylcarbamoylperhydro-2-isoquinolyl]-2-hydroxy-1-(phenylthiomethyl)propylcarbamate
2933 49 90;159989-65-8;(3S,4aS,8aS)-N-(tert-butyl)-2-[(2S,3S)-2-hydroxy-3-(3-hydroxy-2-methylbenzamido)-4-(phenylthio)butyl]perhydroisoquinoline-3-carboxamide-methanesulfonic acid (1:1)
2933 49 90;172649-40-0;3-[(4S)-5-oxo-2-(trifluoromethyl)-1,4,5,6,7,8-hexahydroquinolin-4-yl]benzonitrile
2933 49 90;178680-13-2;methyl {(1S,2R)-1-benzyl-3-[(3S,4aS,8aS)-3-(tert-butylcarbamoyl)decahydro-2-isoquinolyl]-2-hydroxypropyl}carbamate
2933 49 90;181139-72-0;methyl 2-[(S)-3-{(E)-3-[2-(7-chloro-2-quinolyl)vinyl]phenyl}-3-hydroxypropyl]benzoate
2933 49 90;186537-30-4;(S)-N-tert-butyl-1,2,3,4-tetrahydroisoquinoline-3-carboxamide sulfate
2933 49 90;189279-58-1;1-(6-amino-3,5-difluoropyridin-2-yl)-8-chloro-6-fluoro-7-(3-hydroxyazetidin-1-yl)-4-oxo-1,4-dihydroquinoline-3-carboxylic acid
2933 49 90;189746-15-4;2,6-dimethoxy-4-methyl-8-nitro-5-[3-(trifluoromethyl)phenoxy]quinoline
2933 49 90;189746-19-8;5-chloro-2,6-dimethoxy-4-methylquinoline
2933 49 90;189746-21-2;5-chloro-2,6-dimethoxy-4-methyl-8-nitroquinoline
2933 49 90;209909-03-5;(2-chloro-6,7-difluoroquinolin-3-yl)methanol
2933 49 90;220998-08-3;{2,7-dichloro-6-methyl-4-[(4-methylpiperidin-1-yl)methyl]quinolin-3-yl}methanol
2933 49 90;287930-77-2;(1S)-1-{3-[(E)-2-(7-chloroquinolin-2-yl)vinyl]phenyl}-3-[2-(1-hydroxy-1-methylethyl)phenyl]propan-1-ol
2933 49 90;287930-78-3;methyl 2-((3S)-3-{3-[(E)-2-(7-chloroquinolin-2-yl)vinyl]phenyl}-3-hydroxypropyl)benzoate hydrate
2933 49 90;474645-93-7;methyl [2-ethyl-6-(trifluoromethyl)-1,2,3,4-tetrahydroquinolin-4-yl]carbamate
2933 49 90;503290-66-2;(3S,4aS,6S,8aR)-6-[3-chloro-2-(2H-tetrazol-5-yl)phenoxy]decahydro-3-isoquinolinecarboxylic acid hydrochloride
2933 49 90;503291-53-0;2-ethylbutyl (3S,4aS,6S,8aR)-6-[3-chloro-2-(1H-tetrazol-5-yl)phenoxy]decahydro-3-isoquinolinecarboxylate 4-methylbenzenesulfonate
2933 49 90;503293-98-9;(3S,4aS,6S,8aR)-6-hydroxy-2-(methoxycarbonyl)decahydroisoquinoline-3-carboxylic acid
2933 49 90;848133-76-6;N-(4-chloro-3-cyano-7-ethoxyquinolin-6-yl)acetamide
2933 49 90;868210-14-4;4-(4-{[(2S,4R)-4-[acetyl(4-chlorophenyl)amino]-2-methyl-3,4-dihydroquinolin-1(2H)-yl]carbonyl}phenoxy)-2,2-dimethylbutanoic acid
2933 49 90;936359-25-0;methyl 2-((R)-3-(3-((E)-2-(7-chloroquinolin-2-yl)vinyl)phenyl)-3-(((1-(hydroxymethyl)cyclopropyl)methyl)sulfanyl)propyl)benzoate
2933 59 95;0-00-0;2,3-dihydroxy-2,3-bis(phenylcarbonyl)butanedioic acid-ethyl [(8R)-8-(3,5-difluorophenyl)-10-oxo-6,9-diazaspiro[4.5]dec-9-yl]acetate (1:1)
2933 59 95;0-00-0;5-(benzylamino)-2-(3-methoxyphenyl)-7-(4-methylpiperazin-1-yl)[1,2,4]triazolo[1,5-a]quinoline-4-carbonitrile-(2E)-but-2-enedioate (2:1) hydrate
2933 59 95;0-00-0;N-(5-fluoro-3-methyl-1H-indol-1-yl)-4-methyl-2-(pyridin-2-yl)pyrimidine-5-carboxamide
2933 59 95;56-06-4;2,6-diaminopyrimidin-4-ol
2933 59 95;65-71-4;5-methyluracil
2933 59 95;66-22-8;uracil
2933 59 95;68-94-0;purin-6(1H)-one
2933 59 95;71-30-7;cytosine
2933 59 95;487-21-8;pteridine-2,4(1H,3H)-dione
2933 59 95;696-07-1;5-iodouracil
2933 59 95;707-99-3;6-amino-9H-purin-9-ylethanol
2933 59 95;841-77-0;1-benzhydrylpiperazine
2933 59 95;1780-26-3;4,6-dichloro-2-methylpyrimidine
2933 59 95;2210-93-7;1-phenylpiperazinium chloride
2933 59 95;3056-33-5;N-(9-acetyl-6-oxo-6,9-dihydro-1H-purin-2-yl)acetamide
2933 59 95;3680-69-1;4-chloro-7H-pyrrolo[2,3-d]pyrimidine
2933 59 95;3934-20-1;2,4-dichloropyrimidine
2933 59 95;5018-45-1;5,6-dimethoxypyrimidin-4-ylamine
2933 59 95;5081-87-8;3-(2-chloroethyl)quinazoline-2,4(1H,3H)-dione
2933 59 95;5464-78-8;1-(2-methoxyphenyl)piperazine hydrochloride
2933 59 95;6928-85-4;4-methylpiperazin-1-ylamine
2933 59 95;1913545;2,6-dichloro-4,8-dipiperidinopyrimido[5,4-d]pyrimidine
2933 59 95;7280-37-7;estropipate
2933 59 95;7597-60-6;6-amino-5-formamido-1,3-dimethyluracil
2933 59 95;10310-21-1;2-amino-6-chloropurine
2933 59 95;13078-15-4;1-(3-chlorophenyl)piperazine hydrochloride
2933 59 95;13889-98-0;1-acetylpiperazine
2933 59 95;14047-28-0;(R)-2-(6-amino-9H-purin-9-yl)-1-methylethanol
2933 59 95;14080-23-0;pyrimidine-2-carbonitrile
2933 59 95;16064-08-7;6-iodoquinazolin-4(1H)-one
2933 59 95;19690-23-4;6-iodo-1H-purin-2-ylamine
2933 59 95;19916-73-5;6-(benzyloxy)-9H-purin-2-amine
2933 59 95;20535-83-5;6-methoxy-1H-purin-2-ylamine
2933 59 95;20980-22-7;2-(piperazin-1-yl)pyrimidine
2933 59 95;23680-84-4;4-amino-2-chloro-6,7-dimethoxyquinazoline
2933 59 95;27469-60-9;1-(4,4′-difluorobenzhydryl)piperazine
2933 59 95;28888-44-0;6,7-dimethoxyquinazoline-2,4(1H,3H)-dione
2933 59 95;35386-24-4;1-(2-methoxyphenyl)piperazine
2933 59 95;41078-70-0;3-(2-chloroethyl)-2-methyl-4H-pyrido[1,2-a]pyrimidin-4-one
2933 59 95;41202-32-8;1-(2-chlorophenyl)piperazine hydrochloride
2933 59 95;41202-77-1;1-(2,3-dichlorophenyl)piperazine
2933 59 95;52605-52-4;1-(3-chlorophenyl)-4-(3-chloropropyl)piperazine hydrochloride
2933 59 95;55112-42-0;4-methylpiperazine-1-carbonyl chloride hydrochloride
2933 59 95;55293-96-4;5,7-dimethyl[1,2,4]triazolo[1,5-a]pyrimidine-2-carbaldehyde
2933 59 95;56177-80-1;2-ethoxy-5-fluoropyrimidin-4(1H)-one
2933 59 95;57061-71-9;1-(2-chloroethyl)-4-[3-(trifluoromethyl)phenyl]piperazine dihydrochloride
2933 59 95;59703-00-3;4-ethyl-2,3-dioxopiperazine-1-carbonyl chloride
2933 59 95;59878-63-6;6-(5-chloropyridin-2-yl)-7-oxo-6,7-dihydro-5H-pyrrolo[3,4-b]pyrazin-5-yl piperazine-1-carboxylate
2933 59 95;61379-64-4;4-cyclopentylpiperazin-1-amine
2933 59 95;64090-19-3;1-(4-fluorophenyl)piperazine dihydrochloride
2933 59 95;67914-60-7;4-(4-acetylpiperazin-4-yl)phenol
2933 59 95;67914-97-0;4-(4-isopropylpiperazin-1-yl)phenol
2933 59 95;70849-60-4;1-(o-tolyl)piperazine hydrochloride
2933 59 95;75128-73-3;2-[(2-acetamido-6-oxo-6,9-dihydro-1H-purin-9-yl)methoxy]ethyl acetate
2933 59 95;90213-66-4;2,4-dichloro-7H-pyrrolo[2,3-d]pyrimidine
2933 59 95;93076-03-0;3-(2-chloroethyl)-6,7,8,9-tetrahydro-2-methyl-4H-pyrido[1,2-a]pyrimidin-4-one hydrochloride
2933 59 95;94021-22-4;2-piperazin-1-ylpyrimidine dihydrochloride
2933 59 95;97845-60-8;2-(acetoxymethyl)-4-(2-amino-6-chloropurin-9-yl)butyl acetate
2933 59 95;106461-41-0;2-sec-butyl-4-{4-[4-(4-hydroxyphenyl)piperazin-1-yl]phenyl}-2H-1,2,4-triazol-3(4H)-one
2933 59 95;111641-17-9;4-(piperazin-1-yl)-2,6-bis(pyrrolidin-1-yl)pyrimidine
2933 59 95;112733-28-5;ethyl [3-(4-bromo-2-fluorobenzyl)-7-chloro-2,4-dioxo-1,2,3,4-tetrahydroquinazolin-1-yl]acetate
2933 59 95;112733-45-6;ethyl (7-chloro-2,4-dioxo-1,2,3,4-tetrahydroquinazolin-1-yl)acetate
2933 59 95;119532-26-2;1-(2,3-dichlorophenyl)piperazine hydrochloride
2933 59 95;124832-31-1;2-[(2-amino-6-oxo-1,6-dihydro-9H-purin-9-yl)methoxy]ethyl N-(benzyloxycarbonyl)-L-valinate
2933 59 95;125224-62-6;(1S)-2-methyl-2,5-diazabicyclo[2.2.1]heptane dihydrobromide
2933 59 95;132961-05-8;(Z)-3-{2-[4-(2,4-difluoro-alpha-hydroxyiminobenzyl)piperidino]ethyl}-6,7,8,9-tetrahydro-2-methyl-4H-pyrido[1,2-a]pyrimidin-4-one
2933 59 95;137234-74-3;4-chloro-6-ethyl-5-fluoropyrimidine
2933 59 95;137234-87-8;6-ethyl-5-fluoropyrimidin-4(1H)-one
2933 59 95;137281-39-1;4-[2-(2-amino-4-oxo-4,7-dihydro-3H-pyrrolo[2,3-d]pyrimidin-5-yl)ethyl]benzoic acid
2933 59 95;140373-09-7;4-{[(3-{[(2,2-dimethylpropanoyl)oxy]methyl}-2,7-dimethyl-4-oxo-3,4-dihydroquinazolin-6-yl)methyl](prop-2-yn-1-yl)amino}-2-fluorobenzoic acid
2933 59 95;145012-50-6;(7RS,9aRS)-perhydropyrido[1,2-a]pyrazin-7-ylmethanol
2933 59 95;145783-14-8;4,6-dichloro-5-nitro-2-(propylsulfanyl)pyrimidine
2933 59 95;147149-89-1;2-amino-5-bromo-6-methylquinazolin-4(1H)-one
2933 59 95;147539-21-7;isopropyl[2-(piperazin-1-yl)-3-pyridyl]amine
2933 59 95;149062-75-9;1,3-dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride
2933 59 95;150323-35-6;(3S)-1-(tert-butoxycarbonyl)-3-(tert-butylcarbamoyl)piperazine
2933 59 95;150728-13-5;4,6-dichloro-5-(2-methoxyphenoxy)-2,2′-bipyrimidinyl
2933 59 95;156126-48-6;tetrabutylammonium (6-iodo-1H-purin-2-yl)amide
2933 59 95;156126-53-3;(1R,2R,3S)-2-amino-9-[2,3-bis(benzoyloxymethyl)cyclobutyl]-9H-purin-6-one
2933 59 95;156126-83-9;(1R,2R,3S)-9-[2,3-bis(benzoyloxymethyl)cyclobutyl]-6-iodo-9H-purin-2-ylamine
2933 59 95;157810-81-6;(2R,4S)-2-benzyl-5-[2-(tert-butylcarbamoyl)-4-(3-pyridylmethyl)piperazin-1-yl]-4-hydroxy-N-[(1S,2R)-2-hydroxyindan-1-yl]valeramide sulfate
2933 59 95;160009-37-0;methyl 4-(4-fluorophenyl)-6-isopropyl-2-(N-methylmethanesulfonamido)pyrimidine-5-carboxylate
2933 59 95;167465-36-3;(2R)-1-[4-((1aR,10bS)-1,1-difluoro-1,1a,6,10b-tetrahydrodibenzo[a,e]cyclopropa[c][7]annulen-6-yl)piperazin-1-yl]-3-[(quinolin-5-yl)oxy]propan-2-ol trihydrochloride
2933 59 95;171887-03-9;N-(2-amino-4,6-dichloropyrimidin-5-yl)formamide
2933 59 95;172015-79-1;[(1S,4R)-4-(2-amino-6-chloro-9H-purin-9-yl)cyclopent-2-enyl]methanol hydrochloride
2933 59 95;179688-01-8;7-(benzyloxy)-6-methoxyquinazolin-4(3H)-one
2933 59 95;179688-29-0;6,7-bis(2-methoxyethoxy)quinazolin-4(1H)-one
2933 59 95;183319-69-9;(3-ethynylphenyl)[6,7-bis(2-methoxyethoxy)quinazolin-4-yl]amine hydrochloride
2933 59 95;184177-81-9;phenyl {4-[4-(4-hydroxyphenyl)piperazin-1-yl]phenyl}carbamate
2933 59 95;188416-20-8;3-(6-chloro-5-fluoropyrimidin-4-yl)-2-(2,4-difluorophenyl)-1-(1H-1,2,4-triazol-1-yl)butan-2-ol hydrochloride
2933 59 95;188416-28-6;4-(1-bromoethyl)-6-chloro-5-fluoropyrimidine
2933 59 95;188416-34-4;(2RS,3SR)-2-(2,4-difluorophenyl)-3-(5-fluoropyrimidin-4-yl)-1-(1H-1,2,4-triazol-1-yl)butan-2-ol-(1R,4S)-2-oxobornane-10-sulfonic acid (1:1)
2933 59 95;192725-50-1;(2S)-3-methyl-2-(2-oxohexahydropyrimidin-1-yl)butanoic acid
2933 59 95;192726-06-0;(2S)-N-[(1S,3S,4S)-4-amino-1-benzyl-3-hydroxy-5-phenylpentyl]-3-methyl-2-(2-oxotetrahydropyrimidin-1(2H)-yl)butanamide-5-oxopyrrolidine-2-carboxylic acid (1:1) (salt)
2933 59 95;202138-50-9;bis[(isopropyloxycarbonyloxy)methyl [(R)-2-(6-amino-9H-purin-9-yl)-1-methylethoxy]methylphosphonate-fumaric acid (1:1)
2933 59 95;214287-88-4;(4S)-6-chloro-4-(2-cyclopropylethynyl)-4-(trifluoromethyl)-3,4-dihydroquinazolin-2(1H)-one
2933 59 95;214287-99-7;(4S)-6-chloro-4-((E)-2-cyclopropylvinyl)-4-(trifluoromethyl)-3,4-dihydroquinazolin-2(1H)-one
2933 59 95;225916-82-5;8-chloro-5-((4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoyl)-11-(4-methylpiperazin-1-yl)-5H-dibenzo[b,e][1,4]diazepine
2933 59 95;231278-20-9;N-{3-chloro-4-[(3-fluorobenzyl)oxy]phenyl}-6-iodoquinazolin-4-amine
2933 59 95;247565-04-4;(4S)-6-chloro-4-(cyclopropylethynyl)-3-((R)-1-phenylethyl)-4-(trifluoromethyl)-3,4-dihydroquinazolin-2(1H)-one
2933 59 95;345217-02-9;1-[(1S,2S)-2-(benzyloxy)-1-ethylpropyl]-N-{4-[4-(4-hydroxyphenyl)piperazin-1-yl]phenyl}hydrazine-1-carboxamide
2933 59 95;356058-42-9;{2-[(4-fluorobenzyl)sulfanyl]-4-oxo-4,5,6,7-tetrahydro-1H-cyclopenta[d]pyrimidin-1-yl}acetic acid
2933 59 95;444731-74-2;N-(2-chloropyrimidin-4-yl)-2,3-dimethyl-2H-indazol-6-amine
2933 59 95;451487-18-6;2-[(4-fluorobenzyl)sulfanyl]-1,5,6,7-tetrahydro-4H-cyclopenta[d]pyrimidin-4-one
2933 59 95;518048-03-8;2-(1-amino-1-methylethyl)-N-(4-fluorobenzyl)-5-hydroxy-1-methyl-6-oxo-1,6-dihydropyrimidine-4-carboxamide
2933 59 95;540737-29-9;3-{(3R,4R)-4-methyl-3-[methyl(7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino]piperidin-1-yl}-3-oxopropanenitrile 2-hydroxypropane-1,2,3-tricarboxylate
2933 59 95;599179-03-0;1-(4,6-dimethylpyrimidine-5-carbonyl)-
2933 59 95;;4-((3S)-4-{(1R)-2-methoxy-1-[4-(trifluoromethyl)phenyl]ethyl}-3-methylpiperazin-1-yl)-4-methylpiperidine maleate (1:1)
2933 59 95;612494-10-7;1-{(1R)-2-methoxy-1-[4-(trifluoromethyl)phenyl]ethyl}-2-methylpiperazine D-tartarate (1:1)
2933 59 95;612543-01-8;1-(4,6-dimethylpyrimidine-5-carbonyl)piperidin-4-one
2933 59 95;649761-23-9;(1S,2S,3S,5S)-5-[2-amino-6-(benzyloxy)-9H-purin-9-yl]-2-[(benzyloxy)methyl]-3-[dimethyl(phenyl)silyl]-1-(hydroxymethyl)cyclopentan-1-ol
2933 59 95;649761-24-0;2-amino-9-{(1S,3R,4S)-3-[(benzyloxy)methyl]-4-[dimethyl(phenyl)silyl]-2-methylidenecyclopentyl}-9H-purin-6(1H)-one
2933 59 95;654671-77-9;(2R)-4-oxo-4-[3-(trifluoromethyl)-5,6,7,8-tetrahydro[1,2,4]triazolo[4,3-a]pyrazin-7-yl]-1-(2,4,5-trifluorophenyl)butan-2-amine phosphate (1:1) hydrate
2933 59 95;722543-31-9;2-{ethyl[3-({4-[(5-{2-[(3-fluorophenyl)amino]-2-oxoethyl}-1H-pyrazol-3-yl)amino]quinazolin-7-yl}oxy)propyl]amino}ethyl dihydrogen phosphate
2933 59 95;865758-96-9;2-[(6-chloro-3-methyl-2,4-dioxo-3,4-dihydropyrimidin-1(2H)-yl)methyl]benzonitrile
2933 59 95;869490-23-3;(3,3-difluoropyrrolidin-1-yl){(2S,4S)-4-[4-(pyrimidin-2-yl)piperazin-1-yl]pyrrolidin-2-yl}methanone
2933 59 95;934815-71-1;2-[3-(6-{[2-(2,4-dichlorophenyl)ethyl]amino}-2-methoxypyrimidin-4-yl)phenyl]-2-methylpropanoic acid phosphate
2933 59 95;941678-49-5;(3R)-3-cyclopentyl-3-[4-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)-1H-pyrazol-1-yl]propanenitrile
2933 59 95;941685-27-4;4-(1H-pyrazol-4-yl)-7-{[2-(trimethylsilyl)ethoxy]methyl}-7H-pyrrolo[2,3-d]pyrimidine
2933 59 95;941685-39-8;3-cyclopentyl-3-[4-(7-{[2-(trimethylsilyl)ethoxy]methyl}-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-1H-pyrazol-1-yl]propanenitrile
2933 59 95;941685-40-1;(3R)-3-cyclopentyl-3-[4-(7-{[2-(trimethylsilyl)ethoxy]methyl}-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-1H-pyrazol-1-yl]propanenitrile
2933 59 95;941685-41-2;(3S)-3-cyclopentyl-3-[4-(7-{[2-(trimethylsilyl)ethoxy]methyl}-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-1H-pyrazol-1-yl]propanenitrile
2933 59 95;957187-34-7;[(8R)-8-(3,5-difluorophenyl)-10-oxo-6,9-diazaspiro[4.5]dec-9-yl]acetic acid
2933 59 95;1032066-96-8;2-amino-9-{(1S,3R,4S)-3-[(benzyloxy)methyl]-4-[dimethyl(phenyl)silyl]-2-methylidenecyclopentyl}-1,9-dihydro-6H-purin-6-one methanesulfonate (2:1)
2933 59 95;1137917-12-4;3-{[6-(ethylsulfonyl)pyridin-3-yl]oxy}-5-{[(2S)-1-hydroxypropan-2-yl]oxy}benzoic acid-1,4-diazabicyclo[2.2.2]octane (2:1)
2933 69 80;58909-39-0;tetrahydro-2-methyl-3-thioxo-1,2,4-triazine-5,6-dione
2933 79 00;1087239;4-(bromomethyl)quinolin-2(1H)-one
2933 79 00;5006-66-6;6-hydroxynicotinic acid
2933 79 00;1153411;4,6,7,8-tetrahydroquinoline-2,5(1H,3H)-dione
2933 79 00;5162-90-3;3-(2-oxo-1,2-dihydroquinolin-4-yl)alanine
2933 79 00;5342-23-4;6-methoxy-4-methylquinolin-2(1H)-one
2933 79 00;15362-40-0;1-(2,6-dichlorophenyl)indolin-2-one
2933 79 00;17630-75-0;5-chloroindolin-2-one
2933 79 00;20096-03-1;3,3-diethyl-5-(hydroxymethyl)pyridine-2,4(1H,3H)-dione
2933 79 00;22246-18-0;7-hydroxy-3,4-dihydroquinolin-2(1H)-one
2933 79 00;43200-81-3;6-(5-chloropyridin-2-yl)-7-hydroxy-6,7-dihydro-5H-pyrrolo[3,4-b]pyrazin-5-one
2933 79 00;49805-30-3;(±)-2-azabicyclo[2.2.1]hept-5-en-3-one
2933 79 00;54197-66-9;6-hydroxy-3,4-dihydroquinolin-2(1H)-one
2933 79 00;56341-37-8;6-chloroindol-2(3H)-one
